"Date","Price","Open","High","Low","Vol.","Change %"
"06/04/2025","105,560.4","105,383.5","105,971.2","105,148.7","50.43K","0.16%"
"06/03/2025","105,388.3","105,845.6","106,758.4","104,886.9","49.47K","-0.43%"
"06/02/2025","105,845.6","105,635.2","105,930.7","103,729.7","46.44K","0.20%"
"06/01/2025","105,635.2","104,598.0","105,867.5","103,768.6","33.03K","0.99%"
"05/31/2025","104,598.0","103,981.9","104,888.4","103,091.3","35.80K","0.59%"
"05/30/2025","103,981.3","105,598.8","106,314.9","103,693.9","71.98K","-1.53%"
"05/29/2025","105,600.0","107,759.1","108,896.7","105,399.9","70.02K","-2.03%"
"05/28/2025","107,786.7","108,905.7","109,238.3","106,804.9","51.84K","-1.06%"
"05/27/2025","108,944.0","109,455.3","110,718.7","107,572.2","65.02K","-0.47%"
"05/26/2025","109,455.3","109,014.9","110,401.4","108,694.0","48.01K","0.40%"
"05/25/2025","109,021.1","107,763.0","109,203.4","106,648.3","52.49K","1.17%"
"05/24/2025","107,763.0","107,313.5","109,476.4","106,904.5","52.26K","0.42%"
"05/23/2025","107,313.4","111,702.6","111,778.7","106,855.4","87.57K","-3.93%"
"05/22/2025","111,702.7","109,632.6","111,953.6","109,281.8","96.35K","1.88%"
"05/21/2025","109,640.1","106,814.7","110,628.8","106,109.5","124.17K","2.64%"
"05/20/2025","106,815.8","105,586.1","107,270.5","104,199.3","76.08K","1.16%"
"05/19/2025","105,585.8","106,507.7","107,081.3","102,088.2","90.49K","-0.86%"
"05/18/2025","106,504.5","103,113.9","106,577.0","103,113.9","62.47K","3.29%"
"05/17/2025","103,112.6","103,473.9","103,712.3","102,626.5","37.43K","-0.36%"
"05/16/2025","103,480.5","103,764.6","104,544.1","103,126.5","53.27K","-0.27%"
"05/15/2025","103,765.4","103,513.2","104,153.8","101,436.8","59.68K","0.24%"
"05/14/2025","103,513.9","104,116.3","104,316.0","102,632.9","55.58K","-0.58%"
"05/13/2025","104,119.2","102,794.9","104,972.9","101,510.2","71.91K","1.29%"
"05/12/2025","102,795.0","104,119.2","105,765.2","100,766.8","90.21K","-1.27%"
"05/11/2025","104,119.2","104,748.3","104,930.9","103,358.8","54.76K","-0.65%"
"05/10/2025","104,798.0","102,974.7","104,969.8","102,837.2","48.42K","1.77%"
